guess,model,year,month,user_id
0,xgb_classifier_best_estimator,2023,3,14848
1,xgb_classifier_best_estimator,2023,1,18501
0,xgb_classifier_best_estimator,2023,3,9065
0,xgb_classifier_best_estimator,2023,1,861
0,xgb_classifier_best_estimator,2023,1,2173
0,xgb_classifier_best_estimator,2023,2,2173
0,xgb_classifier_best_estimator,2023,1,8359
0,xgb_classifier_best_estimator,2023,1,8359
0,xgb_classifier_best_estimator,2023,1,8359
1,xgb_classifier_best_estimator,2023,1,8463
0,xgb_classifier_best_estimator,2023,1,11415
0,xgb_classifier_best_estimator,2023,3,15520
0,xgb_classifier_best_estimator,2023,3,17606
1,xgb_classifier_best_estimator,2023,3,19001
1,xgb_classifier_best_estimator,2023,3,19001
1,xgb_classifier_best_estimator,2023,1,19001
0,xgb_classifier_best_estimator,2023,3,3794
0,xgb_classifier_best_estimator,2023,1,4180
0,xgb_classifier_best_estimator,2023,1,4350
0,xgb_classifier_best_estimator,2023,3,4350
1,xgb_classifier_best_estimator,2023,3,4641
0,xgb_classifier_best_estimator,2023,1,4912
0,xgb_classifier_best_estimator,2023,2,9012
0,xgb_classifier_best_estimator,2023,2,12245
0,xgb_classifier_best_estimator,2023,3,12416
1,xgb_classifier_best_estimator,2023,3,14009
1,xgb_classifier_best_estimator,2023,3,14009
1,xgb_classifier_best_estimator,2023,1,15588
0,xgb_classifier_best_estimator,2023,1,15857
1,xgb_classifier_best_estimator,2023,2,16355
1,xgb_classifier_best_estimator,2023,2,16355
0,xgb_classifier_best_estimator,2023,3,19990
0,xgb_classifier_best_estimator,2023,2,1112
0,xgb_classifier_best_estimator,2023,1,6943
0,xgb_classifier_best_estimator,2023,1,7977
1,xgb_classifier_best_estimator,2023,3,10072
0,xgb_classifier_best_estimator,2023,2,10141
0,xgb_classifier_best_estimator,2023,3,10141
0,xgb_classifier_best_estimator,2023,3,10141
1,xgb_classifier_best_estimator,2023,1,10894
1,xgb_classifier_best_estimator,2023,2,10894
0,xgb_classifier_best_estimator,2023,1,14815
0,xgb_classifier_best_estimator,2023,2,5325
0,xgb_classifier_best_estimator,2023,1,5325
0,xgb_classifier_best_estimator,2023,2,6103
0,xgb_classifier_best_estimator,2023,3,6103
0,xgb_classifier_best_estimator,2023,1,6103
0,xgb_classifier_best_estimator,2023,3,6103
1,xgb_classifier_best_estimator,2023,3,11350
0,xgb_classifier_best_estimator,2023,1,14546
0,xgb_classifier_best_estimator,2023,1,17790
0,xgb_classifier_best_estimator,2023,3,17790
0,xgb_classifier_best_estimator,2023,3,18698
0,xgb_classifier_best_estimator,2023,3,19388
1,xgb_classifier_best_estimator,2023,2,9100
0,xgb_classifier_best_estimator,2023,3,122
0,xgb_classifier_best_estimator,2023,3,5386
0,xgb_classifier_best_estimator,2023,1,5386
0,xgb_classifier_best_estimator,2023,2,9624
1,xgb_classifier_best_estimator,2023,2,10868
0,xgb_classifier_best_estimator,2023,1,14237
0,xgb_classifier_best_estimator,2023,3,18975
0,xgb_classifier_best_estimator,2023,3,1523
0,xgb_classifier_best_estimator,2023,2,1523
0,xgb_classifier_best_estimator,2023,1,2093
1,xgb_classifier_best_estimator,2023,1,4150
1,xgb_classifier_best_estimator,2023,3,4150
1,xgb_classifier_best_estimator,2023,3,8955
0,xgb_classifier_best_estimator,2023,1,9634
0,xgb_classifier_best_estimator,2023,1,9634
0,xgb_classifier_best_estimator,2023,3,11565
0,xgb_classifier_best_estimator,2023,1,11701
0,xgb_classifier_best_estimator,2023,2,11701
0,xgb_classifier_best_estimator,2023,3,11876
1,xgb_classifier_best_estimator,2023,2,17900
0,xgb_classifier_best_estimator,2023,3,181
1,xgb_classifier_best_estimator,2023,3,1470
0,xgb_classifier_best_estimator,2023,1,4977
0,xgb_classifier_best_estimator,2023,2,5795
1,xgb_classifier_best_estimator,2023,2,14061
1,xgb_classifier_best_estimator,2023,2,18086
0,xgb_classifier_best_estimator,2023,2,2880
0,xgb_classifier_best_estimator,2023,3,2880
0,xgb_classifier_best_estimator,2023,3,3834
0,xgb_classifier_best_estimator,2023,3,3834
0,xgb_classifier_best_estimator,2023,3,8234
1,xgb_classifier_best_estimator,2023,2,9800
0,xgb_classifier_best_estimator,2023,3,14785
0,xgb_classifier_best_estimator,2023,3,14785
0,xgb_classifier_best_estimator,2023,1,3159
1,xgb_classifier_best_estimator,2023,2,4492
0,xgb_classifier_best_estimator,2023,3,5031
1,xgb_classifier_best_estimator,2023,1,14774
0,xgb_classifier_best_estimator,2023,1,15045
0,xgb_classifier_best_estimator,2023,1,15045
0,xgb_classifier_best_estimator,2023,3,18763
0,xgb_classifier_best_estimator,2023,1,8983
1,xgb_classifier_best_estimator,2023,3,9386
1,xgb_classifier_best_estimator,2023,1,13415
1,xgb_classifier_best_estimator,2023,3,17184
0,xgb_classifier_best_estimator,2023,3,17560
1,xgb_classifier_best_estimator,2023,3,17560
0,xgb_classifier_best_estimator,2023,3,3492
0,xgb_classifier_best_estimator,2023,1,3531
0,xgb_classifier_best_estimator,2023,1,4478
0,xgb_classifier_best_estimator,2023,1,4478
0,xgb_classifier_best_estimator,2023,1,4478
0,xgb_classifier_best_estimator,2023,3,4478
1,xgb_classifier_best_estimator,2023,2,6253
0,xgb_classifier_best_estimator,2023,1,6784
0,xgb_classifier_best_estimator,2023,1,6784
0,xgb_classifier_best_estimator,2023,2,8835
0,xgb_classifier_best_estimator,2023,1,9584
0,xgb_classifier_best_estimator,2023,1,9584
0,xgb_classifier_best_estimator,2023,2,9584
0,xgb_classifier_best_estimator,2023,3,9584
0,xgb_classifier_best_estimator,2023,3,9911
1,xgb_classifier_best_estimator,2023,1,12350
0,xgb_classifier_best_estimator,2023,3,13268
1,xgb_classifier_best_estimator,2023,1,16584
1,xgb_classifier_best_estimator,2023,1,16584
0,xgb_classifier_best_estimator,2023,1,18335
0,xgb_classifier_best_estimator,2023,3,3683
0,xgb_classifier_best_estimator,2023,1,8421
0,xgb_classifier_best_estimator,2023,1,8421
0,xgb_classifier_best_estimator,2023,1,8421
0,xgb_classifier_best_estimator,2023,3,9319
0,xgb_classifier_best_estimator,2023,3,9319
0,xgb_classifier_best_estimator,2023,2,10831
