guess,model,year,month,user_id
1,xgb_classifier_best_estimator,2023,1,18214
1,xgb_classifier_best_estimator,2023,1,18501
0,xgb_classifier_best_estimator,2023,1,17778
1,xgb_classifier_best_estimator,2023,3,583
1,xgb_classifier_best_estimator,2023,1,583
1,xgb_classifier_best_estimator,2023,1,7323
1,xgb_classifier_best_estimator,2023,1,7323
0,xgb_classifier_best_estimator,2023,3,138
0,xgb_classifier_best_estimator,2023,3,138
0,xgb_classifier_best_estimator,2023,1,861
0,xgb_classifier_best_estimator,2023,1,2173
0,xgb_classifier_best_estimator,2023,2,2173
1,xgb_classifier_best_estimator,2023,2,7587
0,xgb_classifier_best_estimator,2023,2,7672
1,xgb_classifier_best_estimator,2023,1,8463
0,xgb_classifier_best_estimator,2023,3,9924
0,xgb_classifier_best_estimator,2023,1,9924
0,xgb_classifier_best_estimator,2023,3,10015
0,xgb_classifier_best_estimator,2023,1,11415
0,xgb_classifier_best_estimator,2023,2,13188
0,xgb_classifier_best_estimator,2023,3,13188
1,xgb_classifier_best_estimator,2023,3,13736
0,xgb_classifier_best_estimator,2023,3,14023
1,xgb_classifier_best_estimator,2023,1,16174
0,xgb_classifier_best_estimator,2023,1,18781
0,xgb_classifier_best_estimator,2023,2,18781
1,xgb_classifier_best_estimator,2023,2,3378
1,xgb_classifier_best_estimator,2023,2,7079
0,xgb_classifier_best_estimator,2023,3,12483
0,xgb_classifier_best_estimator,2023,1,15857
0,xgb_classifier_best_estimator,2023,1,19460
0,xgb_classifier_best_estimator,2023,3,638
0,xgb_classifier_best_estimator,2023,3,638
1,xgb_classifier_best_estimator,2023,3,638
1,xgb_classifier_best_estimator,2023,2,787
1,xgb_classifier_best_estimator,2023,3,7786
0,xgb_classifier_best_estimator,2023,2,10141
1,xgb_classifier_best_estimator,2023,3,10141
1,xgb_classifier_best_estimator,2023,3,10141
1,xgb_classifier_best_estimator,2023,1,10894
1,xgb_classifier_best_estimator,2023,2,10894
1,xgb_classifier_best_estimator,2023,3,16328
1,xgb_classifier_best_estimator,2023,1,16328
1,xgb_classifier_best_estimator,2023,3,16328
1,xgb_classifier_best_estimator,2023,1,16328
1,xgb_classifier_best_estimator,2023,2,16846
1,xgb_classifier_best_estimator,2023,3,16846
1,xgb_classifier_best_estimator,2023,3,17954
0,xgb_classifier_best_estimator,2023,2,18629
1,xgb_classifier_best_estimator,2023,2,2245
1,xgb_classifier_best_estimator,2023,1,4179
1,xgb_classifier_best_estimator,2023,3,4179
1,xgb_classifier_best_estimator,2023,3,4179
1,xgb_classifier_best_estimator,2023,3,8978
0,xgb_classifier_best_estimator,2023,3,9895
1,xgb_classifier_best_estimator,2023,3,11350
0,xgb_classifier_best_estimator,2023,2,12398
0,xgb_classifier_best_estimator,2023,3,12398
0,xgb_classifier_best_estimator,2023,1,14439
0,xgb_classifier_best_estimator,2023,1,14630
0,xgb_classifier_best_estimator,2023,2,14630
0,xgb_classifier_best_estimator,2023,1,17790
0,xgb_classifier_best_estimator,2023,3,17790
0,xgb_classifier_best_estimator,2023,3,19388
0,xgb_classifier_best_estimator,2023,3,837
1,xgb_classifier_best_estimator,2023,3,1319
0,xgb_classifier_best_estimator,2023,2,1990
1,xgb_classifier_best_estimator,2023,3,2076
1,xgb_classifier_best_estimator,2023,1,2076
0,xgb_classifier_best_estimator,2023,2,7162
0,xgb_classifier_best_estimator,2023,3,7162
1,xgb_classifier_best_estimator,2023,1,8821
0,xgb_classifier_best_estimator,2023,1,8821
0,xgb_classifier_best_estimator,2023,3,8821
1,xgb_classifier_best_estimator,2023,3,11028
1,xgb_classifier_best_estimator,2023,3,13784
0,xgb_classifier_best_estimator,2023,1,19698
